Age,Annual_Income,Loan_Amount,Existing_Debts,Credit_Utilization,Payment_History,Credit_History_Length,Savings_Balance,EMI_Amount,Debt_to_Income_Ratio,Creditworthy
59,759070,64633,234315,7,83,2,833450,8207,30.87,1
49,1327109,129164,331324,70,65,25,196171,30268,24.97,0
35,440011,837001,379129,39,63,11,203378,7486,86.16,0
28,1437903,503116,348125,45,77,13,432446,32222,24.21,0
41,272684,903941,298078,63,67,10,821201,30121,109.31,0
59,1465197,173425,402727,20,75,23,377839,19767,27.49,1
39,1483871,937558,393399,60,87,22,700574,39915,26.51,0
43,975723,824508,271619,49,56,15,42492,11017,27.84,0
31,1147509,439666,477982,63,94,29,860199,16094,41.65,0
31,1154138,345182,194202,54,83,1,230115,32236,16.83,0
44,937651,230160,321721,89,96,14,596761,8664,34.31,0
56,911423,254249,258040,16,98,10,388231,30921,28.31,1
44,353466,255538,288152,96,94,18,119015,30845,81.52,0
23,434318,515432,207940,16,56,11,622503,15573,47.88,0
42,572778,772153,441157,37,82,7,251495,2683,77.02,0
22,331936,517002,42756,88,84,15,13687,10390,12.88,0
44,1157726,350282,201330,53,99,3,714495,34777,17.39,0
50,847952,996261,80730,25,88,2,467851,49588,9.52,1
58,876315,251466,485383,64,70,22,607688,32777,55.39,0
22,572818,522243,421128,56,98,8,868095,43667,73.52,0
41,1352109,534046,82702,58,77,8,891441,30111,6.12,0
53,1068277,237223,181731,43,81,11,846136,30980,17.01,0
32,1496573,947172,308984,53,93,16,392375,36380,20.65,0
42,1318166,685462,212584,68,65,2,417050,24808,16.13,0
45,528615,361416,300767,90,59,22,412137,8226,56.9,0
47,681530,187980,325447,30,72,28,913680,23447,47.75,0
48,1493512,454060,308206,75,97,5,693933,38109,20.64,0
36,609925,887887,56690,11,99,7,834308,18926,9.29,1
35,1258302,642735,208654,76,64,20,800698,18621,16.58,0
23,391896,779887,98980,66,92,28,47713,12167,25.26,0
57,1289118,389252,416850,94,99,13,936489,6709,32.34,0
27,613461,486282,397306,92,55,2,32068,14240,64.76,0
41,1283329,276301,307410,28,82,26,624524,36031,23.95,1
29,1066220,874765,161080,44,88,3,673726,33146,15.11,0
59,483460,957651,349787,80,61,9,504071,8998,72.35,0
38,433979,395173,58704,51,85,10,79384,41508,13.53,0
24,808986,351841,242153,12,80,24,564760,11812,29.93,1
45,478104,854066,456082,58,59,13,668816,32101,95.39,0
34,1279367,961952,379518,13,83,25,225750,15228,29.66,1
29,1225270,860993,270526,7,90,21,153103,25747,22.08,1
46,487360,461249,440990,58,59,13,95675,47300,90.49,0
22,797578,105063,467786,25,60,5,685386,30790,58.65,0
40,771302,862353,205134,99,63,23,575175,2882,26.6,0
48,335150,593628,351753,52,52,7,169849,39955,104.95,0
27,1195893,637069,46698,51,82,17,970434,19659,3.9,0
28,1299095,851333,263254,92,56,28,142732,48420,20.26,0
55,773340,60638,377410,72,53,15,299295,24258,48.8,0
34,1262965,267986,475197,88,88,5,296757,24886,37.63,0
37,558105,356468,131458,67,97,24,75266,42560,23.55,0
56,1080147,400500,451729,20,59,7,219816,32343,41.82,0
24,1037165,271668,215192,78,64,27,643308,19407,20.75,0
22,1072318,344786,242282,94,65,2,326882,4950,22.59,0
26,1406329,565518,493203,97,87,24,711137,4889,35.07,0
24,543150,599666,309945,9,53,18,564990,31410,57.06,0
49,1343489,887299,376156,15,53,10,229450,29968,28.0,0
38,818396,385830,358229,33,85,1,134188,19976,43.77,0
46,979091,355019,202929,83,76,27,611551,24016,20.73,0
54,469637,168171,483192,74,71,27,917245,10211,102.89,0
30,269639,412205,31566,52,71,14,269751,23742,11.71,0
56,1480028,789089,425737,19,66,27,402455,24553,28.77,0
34,509378,638665,241300,88,94,19,646513,30332,47.37,0
51,1164795,834627,23798,38,83,16,370069,14089,2.04,1
35,686084,628979,406781,64,81,19,924860,49334,59.29,0
28,469515,507519,23027,66,55,6,71804,5436,4.9,0
34,432520,504055,490847,6,82,12,626628,18087,113.49,0
43,1492035,361207,267775,84,57,3,285165,26428,17.95,0
41,871986,666070,220937,23,99,7,651899,9497,25.34,1
36,437330,834184,239628,53,85,24,54001,29154,54.79,0
38,1354149,128343,56878,82,54,3,684452,27509,4.2,0
44,1124634,395215,45206,92,54,25,432131,41404,4.02,0
46,337900,972996,103473,32,96,17,514120,45747,30.62,1
45,519658,695687,451798,52,59,15,456539,42833,86.94,0
49,700364,605645,58334,41,89,19,398976,35349,8.33,0
35,1484283,515054,334467,78,56,28,479253,4957,22.53,0
21,898419,868746,53619,53,61,19,641014,38358,5.97,0
45,723116,491913,103536,52,79,23,192974,15913,14.32,0
27,713066,644571,420091,77,74,11,287883,10797,58.91,0
29,464179,109567,155586,92,77,27,869444,8531,33.52,0
44,1358343,359150,153652,33,92,21,476683,14825,11.31,1
21,633961,287778,259201,64,62,20,23699,7911,40.89,0
28,741529,191758,216899,33,96,2,143876,33316,29.25,1
